country,domain,delphi_insample_mae,delphi_outsample_mae,delphi_insample_mape,delphi_outsample_mape,selftune_insample_mae,selftune_outsample_mae,selftune_insample_mape,selftune_outsample_mape,guided_insample_mae,guided_outsample_mae,guided_insample_mape,guided_outsample_mape,selftune_delphi_diff,guided_selftune_diff,guided_delphi_diff,best_method
Denmark,,336.4940988721834,1322.8644664425788,16.099717041162755,13.019864521913146,257.8795471191406,608.6047973632812,12.84585189819336,5.8139166831970215,840.7844848632812,558.1152954101562,31.046031951904297,5.99717378616333,714.2596690792975,50.489501953125,764.7491710324225,Past-Guided
Kiribati,,165.7744430955138,504.6013187320475,12.435472938500638,16.494998742084693,153.5849151611328,230.0933990478516,10.39244270324707,7.527902126312256,577.5956420898438,786.5449829101562,30.259485244750977,25.74156188964844,274.50791968419594,-556.4515838623047,-281.94366417810875,Self-tune
Hungary,,39.90460610018663,92.3228443167352,5.05878555045952,2.5978581580176403,89.04606628417969,196.84136962890625,13.44089126586914,5.340902805328369,87.69194030761719,406.6668395996094,17.10690689086914,11.268080711364746,-104.51852531217105,-209.82546997070312,-314.3439952828742,DELPHI
Cyprus,,6.469191462305645,19632.52549485117,1.498344322101287,2082.8083957361087,84.66565704345703,87.7880859375,28.697479248046875,9.501368522644045,102.34380340576172,162.53924560546875,33.671531677246094,17.62900161743164,19544.73740891367,-74.75115966796875,19469.9862492457,Self-tune
Eswatini,,7.719221930006234,104.70806254614284,3.3997456484819057,10.295674942153171,135.38038635253906,392.4530334472656,65.2867202758789,45.10951232910156,311.9385986328125,191.1226348876953,139.2283477783203,20.349613189697266,-287.74497090112277,201.3303985595703,-86.41457234155247,DELPHI
Croatia,,19.14074002637969,85.85688164897654,2.163791729160719,3.864858157832404,32.26480484008789,51.21929550170898,3.921874761581421,2.304372787475586,243.905517578125,419.1717834472656,18.243385314941406,18.98301315307617,34.63758614726756,-367.95248794555664,-333.3149017982891,Self-tune
Guatemala,,85.8052335205376,5336.3279336962905,13.863782220697535,58.83414305933894,176.83038330078125,1129.33203125,48.96614837646485,12.093854904174805,254.12408447265625,3191.436767578125,58.16433334350586,39.1533203125,4206.9959024462905,-2062.104736328125,2144.8911661181655,Self-tune
Greece,,183.03862097743516,439.6472068028519,17.32560400396445,15.899572165029364,1564.742919921875,586.3641357421875,160.4886932373047,21.40802955627441,943.69287109375,151.8731689453125,93.29706573486328,5.652802467346191,-146.71692893933562,434.490966796875,287.7740378575394,Past-Guided
Lebanon,,7.311159199360397,127.71987307511984,1.869739358776718,13.03073606627739,84.77381896972656,269.4555053710937,24.64180374145508,29.110374450683597,80.35765075683594,67.91568756103516,26.287919998168945,6.7884202003479,-141.73563229597386,201.53981781005854,59.80418551408468,Past-Guided
Belize,,71.61479164518566,402.1273485060776,13.29661853484266,17.12948345993241,62.24662399291992,446.93115234375,15.654984474182127,19.18889808654785,261.8038330078125,275.87213134765625,37.20140838623047,12.500947952270508,-44.803803837672376,171.05902099609375,126.25521715842137,Past-Guided
Guinea-Bissau,,70.44583047441479,84.3819733508337,9.70953668880945,5.047611259503194,255.617919921875,419.5611572265625,48.28740692138672,25.330341339111328,217.365234375,84.87074279785156,36.31632614135742,5.07412052154541,-335.17918387572877,334.69041442871094,-0.48876944701785874,DELPHI
Israel,,150.16257714934707,800.3698443955843,12.924679713435324,4.896876267038563,222.42417907714844,273.1913146972656,15.837106704711914,1.6902973651885986,443.8481750488281,1076.0413818359375,20.369873046875,6.626914024353027,527.1785296983187,-802.8500671386719,-275.6715374403532,Self-tune
Liberia,,4.651411651424568,544.6786460874202,2.4521329771362126,76.88126021344014,127.52214813232422,170.17445373535156,66.8068618774414,27.346933364868164,354.7894287109375,144.32398986816406,171.58560180664062,33.42496871948242,374.5041923520687,25.8504638671875,400.3546562192562,Past-Guided
Jamaica,,15.32806246985035,3107.755607458189,4.536165238083746,478.28060317661885,62.82549285888672,139.7301788330078,20.17084503173828,22.565433502197266,152.54969787597656,82.05963897705078,44.5781364440918,13.36666202545166,2968.025428625181,57.67053985595703,3025.695968481138,Past-Guided
