country,domain,delphi_train_mae,delphi_overall_mae,delphi_last15_mae,resnet-loss=mae-no_time-lr=1e-5_InSample_mae,resnet-loss=mae-no_time-lr=1e-5_OutSample_mae,resnet-loss=mae-no_time-lr=1e-5_InSample_mape,resnet-loss=mae-no_time-lr=1e-5_OutSample_mape
Isle of Man,,7.744725975358838,5.242386633282136,0.8054455914959362,364.1432495117188,403.1137390136719,0.5531875491142273,0.5439294576644897
India,,125.77977222410884,5475.9003734644175,23438.50979842289,1237.93896484375,19805.69921875,0.2363305389881134,0.3155336081981659
Canada,Saskatchewan,7.402313696674624,18.11879450747715,37.27253240935003,221.50491333007807,20.209136962890625,0.4001227617263794,0.0318361893296241
Croatia,,86.35020396278236,82.87302719084332,92.3717706323636,125.9217300415039,124.2413330078125,0.0877536311745643,0.0533960126340389
Japan,,46.69204962294611,27122.87004340848,126485.20126003322,127.58255004882812,4954.79052734375,0.19310262799263,0.8933553099632263
Eswatini,,11.720640238931573,3664.791929586536,17010.30823350781,323.861328125,185.490234375,0.5545251965522766,0.2783024907112121
Estonia,,964.412270472627,7841.349590363135,33205.17323189618,776.5817260742188,428.64263916015625,0.281566172838211,0.0578848011791706
Greenland,,4.444891393994224,22.02818548427795,69.59914239032351,328.5862731933594,156.91775512695312,0.5609245896339417,0.2349117994308471
Ecuador,,1139.141813188649,24098.66971871061,98070.01973079496,1231.4739990234375,8107.8984375,0.2264458686113357,0.1933610886335373
Italy,,655.4155571351686,6998.798625137079,25627.399667651727,9445.740234375,12807.96484375,0.1355268210172653,0.0702391192317009
Equatorial Guinea,,42.98555485723232,27494.932765211357,128449.97148585824,154.17166137695312,646.18701171875,0.2033199816942215,0.3044867813587188
Mauritius,,14.077087150657016,16.881013926515894,21.108514125042877,254.59307861328125,291.6468505859375,0.4620009064674377,0.4664224982261657
Guinea,,47.44612144838487,132.32266599283105,433.0519096465916,146.2967071533203,657.1466064453125,0.2094387412071228,0.2168167829513549
Haiti,,59.50612291085845,209.17937745314563,697.9916945699459,261.7782287597656,803.86669921875,0.2108695805072784,0.1186808720231056
Kazakhstan,,90.44310301009745,755.6693876776818,3113.088002020087,165.94357299804688,2322.11767578125,0.1356260478496551,0.3616456091403961
Kyrgyzstan,,1963.45634522178,2091.068395851684,2737.639135043026,6504.697265625,1001.145263671875,0.2234121263027191,0.0173305999487638
Burkina Faso,,57.68248629053871,61.1968769024112,84.44300214253859,136.01425170898438,102.1904754638672,0.2426653802394867,0.1440376192331314
Kiribati,,448.42381975677193,1281.4419807880547,4446.248965194546,108.23639678955078,123.66873931884766,0.0719823613762855,0.0389003381133079
Malawi,,104.07875881172647,515.8727893087909,1911.9054330244128,82.67115020751953,780.513916015625,0.1466738134622573,0.305641770362854
Hungary,,77.06197374146377,101.7261856561703,197.8352060818497,175.87318420410156,265.6679382324219,0.1417326778173446,0.0711127668619155
Mali,,15.679794502775383,36.48114495035614,84.0736356805724,99.989013671875,532.9698486328125,0.2023786157369613,0.5099398493766785
Lesotho,,21.21070344404378,34.22343352411415,62.31394050178063,164.6293487548828,151.56849670410156,0.2504713833332062,0.150507315993309
El Salvador,,17.359514687461,229.85694534764323,898.3746090818579,175.10845947265625,309.9176940917969,0.306361973285675,0.1027765795588493
Montserrat,,3.655751352159296,4.069542428984612,3.8966038388023376,443.0270690917969,515.2135620117188,0.7221742272377014,0.7564959526062012
Ireland,,246.2064354799317,346.09336637233025,738.5670627836142,1402.83642578125,5743.71484375,0.1281835734844207,0.2006390690803527
Liberia,,2.966983261467169,56135.41699075496,265218.69863558054,349.1462097167969,141.6201934814453,0.6087350249290466,0.2195596098899841
Marshall Islands,,7814.768220002473,8458.150695432418,9634.62471161823,5745.40380859375,6913.2890625,0.8709886074066162,0.8221765160560608
Greece,,95.2018309133715,112.626492683525,209.63504106515575,608.7620849609375,177.62139892578125,0.3077398538589477,0.0685250759124755
Iceland,,73.44892349625763,57.36096365805869,29.51195825279827,428.1669616699219,661.3192749023438,0.4237931370735168,0.5738421678543091
Myanmar,,3.717488043372762,127.2906926851291,569.1192952411769,406.6481628417969,398.7796325683594,0.6798223257064819,0.5982205867767334
Kenya,,29.97953720182011,343.28417423163177,1368.4999455670047,264.1629333496094,1105.9237060546875,0.4223258793354034,1.3795166015625
Martinique,,6.662440669038715,20.396919584358397,62.73809094767599,403.23345947265625,450.92333984375,0.690770149230957,0.696598470211029
Mauritania,,73.9868808710397,132.0081503147467,373.4424762985329,178.7091827392578,352.2283630371094,0.1788045018911361,0.0605512596666812
Libya,,40.47670084438473,882.32449568526,3826.4078338474674,105.11634826660156,1195.2308349609375,0.2039301544427871,0.7406559586524963
Azerbaijan,,43.30664048721117,1220.8410443852135,5598.918348503796,146.70843505859375,1801.16650390625,0.1383174806833267,0.7520321607589722
Kuwait,,172.99168179950894,922.4720465306756,3512.330200841274,221.9616241455078,4112.54443359375,0.3181638121604919,0.5564618706703186
Monaco,,2.736605731086477,10.00215906168659,33.532638648622466,390.2509460449219,386.1300659179688,0.6936936378479004,0.6156448721885681
Madagascar,,9.167376229357693,98.9585642824256,385.2618337604778,363.7863464355469,407.93505859375,0.6274725198745728,0.6075213551521301
Namibia,,38.13689974108987,410.64325965393,1600.8928388443348,111.60627746582033,2292.037353515625,0.1180791705846786,0.656245768070221
Liechtenstein,,0.8806006685039042,104.24974197732251,489.2915874171628,432.05419921875,313.2965087890625,0.7667034268379211,0.5017397403717041
New Zealand,,265.5392029674198,243.44726325128693,203.96553560937647,60.50223159790039,89.84474182128906,0.0671694278717041,0.0724386721849441
Indonesia,,90.6784137798909,200.1316383158526,544.3182135946536,512.4574584960938,2133.653564453125,0.1294503062963485,0.1422733217477798
Mayotte,,45.77056059364897,59.335019039151085,127.02952913240948,187.7597503662109,138.9905242919922,0.3516496121883392,0.0800806134939193
Latvia,,33.32595667838428,30.164156650390485,30.34766667544012,160.9704132080078,167.54611206054688,0.2533283829689026,0.2044658958911895
Netherlands,,1321.2105341167137,1271.636056792402,1256.590139691328,2433.952880859375,3006.54248046875,0.258939653635025,0.0709618106484413
Nauru,,1543.291691478214,1628.1369017685324,1823.609800961164,1582.0645751953125,2064.583251953125,0.6922101974487305,0.8246954679489136
Bangladesh,,618.9346852036285,6649.628220380429,27184.44810989776,1526.37939453125,23055.150390625,0.1390978842973709,0.6605660319328308
New Caledonia,,1.171767682418771,0.9697013685483912,0.9544149820916052,450.5495300292969,529.9429931640625,0.7609142661094666,0.8096383213996887
Montenegro,,166.74819767480702,6634.709444784099,29063.896400456128,974.6647338867188,4039.45361328125,0.4075003266334533,1.1674091815948486
Gabon,,55.03738113359952,26565.74990450052,124513.05491219836,194.83175659179688,634.587646484375,0.2808650434017181,0.189298465847969
Malta,,16.394764006802486,22.71903998851123,45.36629290170348,271.86383056640625,117.20427703857422,0.475150316953659,0.1752229332923889
Niger,,25.384125514407604,25.83642020172923,25.04299875983213,44.1025276184082,97.76427459716795,0.0907393023371696,0.1146542206406593
Honduras,,75.22704833558248,928.220812917413,3611.378708787118,149.36004638671875,910.1612548828124,0.240880936384201,0.254290908575058
Malaysia,,96.642913931241,120.03450451927158,241.89362449112477,383.8141479492188,307.5126037597656,0.1482037007808685,0.0475789457559585
Guyana,,3.024316459237834,17.713817398573752,61.57925148981617,414.4317321777344,368.7744445800781,0.7145223617553711,0.5714622139930725
