Country,Domain,InSample_MAE,OutSample_MAE,InSample_MAPE,OutSample_MAPE
Ireland,,376.50067138671875,1632.25244140625,21.089731216430664,7.109203815460205
Isle of Man,,809.515625,928.6114501953125,282.4387512207031,274.73712158203125
Israel,,598.9971923828125,303.3267517089844,31.758230209350586,1.8705193996429443
Italy,,789.0198974609375,24921.625,10.713626861572266,12.947572708129883
Jamaica,,542.0094604492188,498.5455322265625,140.0663299560547,81.33780670166016
Japan,,536.9617919921875,6541.9375,94.7684326171875,64.19121551513672
Jersey,,761.4185791015625,868.9927978515625,309.5364074707031,297.3493347167969
Jordan,,625.1572875976562,557.2914428710938,174.87481689453125,98.51367950439453
Kazakhstan,,484.688232421875,726.386962890625,61.1646842956543,7.4815354347229
Kenya,,769.5274658203125,705.3358154296875,252.92982482910156,32.38775634765625
Kiribati,,676.0630493164062,4725.03466796875,35.53391647338867,154.4622344970703
Kuwait,,582.960205078125,7037.35302734375,152.03607177734375,64.57878112792969
Kyrgyzstan,,24999.146484375,7422.97119140625,130.9078826904297,12.939123153686523
Latvia,,675.193359375,450.8185729980469,158.6017303466797,46.20215606689453
Lebanon,,437.6619873046875,221.3727264404297,100.48160552978516,27.283098220825195
Lesotho,,682.7986450195312,340.5682373046875,144.4786376953125,30.351768493652344
Liberia,,802.638427734375,643.5570068359375,380.51129150390625,134.2060546875
Libya,,383.81689453125,1461.160888671875,101.18363952636719,47.761810302734375
Lithuania,,177.974853515625,146.0505828857422,33.66191482543945,9.7142333984375
Luxembourg,,4648.494140625,5053.9951171875,217.820068359375,166.28871154785156
Madagascar,,806.0076293945312,227.4769744873047,482.6615295410156,26.0445499420166
Malawi,,407.9953918457031,2067.030517578125,78.53081512451172,62.13820266723633
Malaysia,,573.3495483398438,4050.40087890625,37.7729377746582,63.36910629272461
Maldives,,232.59014892578125,367.87982177734375,38.02762222290039,16.18867301940918
Mali,,433.2294616699219,389.8098449707031,118.01187133789062,22.883331298828125
Malta,,682.1494140625,600.3772583007812,267.1471252441406,110.53427124023438
Marshall Islands,,6192.9736328125,7054.5224609375,49.60662841796875,46.04227828979492
Mauritania,,490.80511474609375,3198.203125,87.36764526367188,54.96138000488281
Mauritius,,689.5684814453125,806.1765747070312,234.76988220214844,241.6382293701172
Mayotte,,508.46112060546875,614.572265625,189.01107788085938,33.73088455200195
Mexico,,907.751220703125,24081.58984375,37.3895263671875,42.236854553222656
Montenegro,,2484.195068359375,2707.771240234375,210.8603515625,32.79817199707031
Morocco,,287.81988525390625,1647.7530517578125,34.06142044067383,22.97041893005371
Mozambique,,606.6939086914062,188.18626403808594,236.95263671875,17.77128791809082
Myanmar,,746.5091552734375,796.6728515625,421.3271179199219,299.9280700683594
Namibia,,466.280029296875,3099.02490234375,52.69940185546875,52.802947998046875
Nauru,,894.9572143554688,1189.2393798828125,30.34239387512207,26.01117706298828
Nepal,,606.0650634765625,4557.4541015625,97.54781341552734,27.96866798400879
Netherlands,,10730.3916015625,36637.9765625,111.30155944824219,91.47796630859375
New Zealand,,108.74502563476562,134.71217346191406,17.077425003051758,11.708931922912598
Nicaragua,,1126.7381591796875,316.9065856933594,122.93842315673828,13.053754806518555
Niger,,347.05194091796875,178.9561309814453,65.73502349853516,18.890790939331055
Nigeria,,880.8165893554688,4499.44921875,127.51545715332031,53.58766555786133
Niue,,582.9061279296875,272.5008850097656,271.7771301269531,38.959312438964844
North Macedonia,,436.57177734375,377.8821105957031,129.83387756347656,20.032958984375
Norway,,422.44659423828125,288.4715270996094,22.31355094909668,3.772900342941284
Oman,,369.2088317871094,2103.33740234375,81.0299072265625,24.548070907592773
Pakistan,,768.2984008789062,16595.6328125,34.777061462402344,39.79664993286133
Palau,,784.7364501953125,1441.83203125,44.84510040283203,36.81444549560547
Panama,,373.1317443847656,855.6646118164062,26.836463928222656,8.48791217803955
Papua New Guinea,,572.4183349609375,555.5313720703125,168.52285766601562,104.00939178466797
Paraguay,,581.671142578125,141.65350341796875,246.12704467773438,14.894858360290527
Peru,,861.1729125976562,14625.3955078125,62.48033142089844,15.483098030090332
Philippines,,419.6878967285156,939.1828002929688,49.73932647705078,7.817043304443359
Poland,,422.78424072265625,1798.761962890625,25.802589416503906,9.644866943359375
Portugal,,7635.9384765625,23229.689453125,107.07982635498047,87.54528045654297
Puerto Rico,,348.1585998535156,50.5783576965332,53.38511657714844,3.8902783393859863
Qatar,,1677.49462890625,5560.962890625,201.671630859375,27.234437942504883
Romania,,775.7376708984375,3553.992431640625,54.55339813232422,24.153383255004883
Rwanda,,776.8695068359375,744.448486328125,410.4297790527344,196.25836181640625
Saint Kitts and Nevis,,671.9119262695312,649.2177124023438,173.3205108642578,106.47917938232422
Saint Lucia,,748.9454956054688,764.0739135742188,346.78533935546875,221.4960479736328
Saint Pierre and Miquelon,,472.2025451660156,173.12307739257812,175.36756896972656,16.906198501586914
Saint Vincent and the Grenadines,,546.6024780273438,299.28326416015625,297.3215637207031,20.563337326049805
Samoa,,312.9939880371094,495.0758972167969,15.99365234375,3.9331414699554443
San Marino,,597.9223022460938,434.7013854980469,205.98416137695312,68.24376678466797
Sao Tome and Principe,,1155.0185546875,1082.6102294921875,344.5652770996094,151.76739501953125
Saudi Arabia,,1010.9179077148438,13035.6435546875,49.31702423095703,28.19439125061035
Senegal,,543.1761474609375,1637.0406494140625,183.5646514892578,56.53817367553711
Serbia,,400.4061584472656,1677.138427734375,31.66187858581543,15.836031913757324
