economy,time,EN.POP.DNST,GE.EST,IS.AIR.DPRT,NE.DAB.TOTL.CD,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GNP.PCAP.KD,SH.MED.PHYS.ZS,SH.UHC.NOPR.ZS,SH.XPD.CHEX.PC.CD,SH.XPD.EHEX.PC.CD,SH.XPD.GHED.PC.CD
SOM,YR1994,11.0941881595307,,,,1481205097.98113,212.822083818901,,,,,,
SOM,YR1995,11.4944527688335,,,,1534756134.55022,212.837475131532,,,,,,
SOM,YR1996,11.911324002933,-1.95985543727875,,,1792234297.39194,239.845605844393,,,,,,
SOM,YR1997,12.3287419899895,,,,2191749013.58124,283.379921860059,,0.04,,,,
SOM,YR1998,12.8428953996238,-1.91686367988586,,,2962047564.41651,367.642832211413,,,,,,
SOM,YR1999,13.3651273631524,,,,3045751527.66005,363.260678172138,,,,,,
SOM,YR2000,13.902293811968,-1.97572016716003,,,3412797450.20112,391.310112486964,,,,,,
SOM,YR2001,14.459060477572,,,,2252847464.68608,248.364050357273,,,,,,
SOM,YR2002,15.0015988140402,-1.53170728683472,,,2192684134.59273,232.989069888272,,,,,,
SOM,YR2003,15.5550116364332,-1.90459001064301,,,2836724351.5616,290.699186830303,,,,,,
SOM,YR2004,16.1273854688048,-1.8433358669281,,,3859592813.10255,381.482432373381,,,,,,
SOM,YR2005,16.6851978193643,-2.1309552192688,,,4683246454.10048,447.417197695496,,,,,,
SOM,YR2006,17.1915914814933,-2.07395672798157,,,5026743282.04251,466.087702031569,,0.028,,,,
SOM,YR2007,17.7225938087799,-2.19994497299194,,,5430713728.89074,488.457347617805,,,,,,
SOM,YR2008,18.2434883795071,-2.29601812362671,,,5913620292.90573,516.704889868189,,,,,,
SOM,YR2009,18.6980536869959,-2.15730476379395,,,2948594552.44952,251.371291706029,,,,,,
SOM,YR2010,19.1708626900883,-2.1699275970459,2716.90992767916,,2687807003.73935,223.487606875311,,,,,,
SOM,YR2011,19.4740284375299,-2.15188980102539,2815.0,,2906000096.93249,237.868451296558,,,,,,
SOM,YR2012,19.8302770427519,-2.19294190406799,2791.0,,4041702388.86633,324.887176498939,,,,,,
SOM,YR2013,20.487271654924,-2.1953136920929,3540.0,,5836021227.47597,454.077264239248,,,,,,
SOM,YR2014,21.2153457455287,-2.43926000595093,3444.0,,6537360532.64359,491.189804120491,,0.023,,,,
SOM,YR2015,21.9401058437211,-2.21718955039978,,,6984947145.09508,507.482915467098,505.358573002137,,,,,
SOM,YR2016,22.7832546944241,-2.20610427856445,98.0,,7390796616.52817,517.097581505502,,,0.15,,,
SOM,YR2017,23.6940431026238,-2.25891923904419,98.0,,8252394373.29698,555.185123613069,,,0.31,,,
SOM,YR2018,24.5657761341537,-2.21182322502136,995.0,,8278212314.40466,537.159290210329,,,,,,
SOM,YR2019,25.4747027130424,-2.2808883190155,1060.0,,9420431258.24747,589.465891901627,,,,,,
SOM,YR2020,26.3605317690567,-2.13139939308167,,,9204140383.17612,556.578066029332,,,,,,
SOM,YR2021,27.2030812637485,-2.08389329910278,,,9838711529.45848,576.523678242099,,,,,,
SRB,YR1993,,,,,19374911219.6327,2516.44871670044,,,,,,
SRB,YR1994,,,,,20302145339.4017,2624.83424751972,,,,,,
SRB,YR1995,,,,17347175141.2429,16832598870.0565,2207.4505980581,,,,,,
SRB,YR1996,,-1.06467998027802,,23282569832.4022,21818007448.7896,2864.0847269944,,,,,,
SRB,YR1997,,,,27604248769.5144,25676487999.5941,3380.04141638289,3183.96281212173,,,,,
SRB,YR1998,,-0.883071959018707,,20397535590.3816,19457979423.376,2571.17271041453,3301.14273275896,,,,,
SRB,YR1999,,,,20275341937.1436,19388663551.0012,2571.30403953333,3001.49153546681,,,,,
SRB,YR2000,,-0.834016025066376,,7214555638.40617,6875845986.52121,914.785719885861,3193.15188214052,,,56.47926331,,36.97342419
SRB,YR2001,,,14000.0,14927046286.2142,12960546471.3782,1727.2822281985,3420.28588131368,,,112.19808197,,74.98530552
