economy,country,time,EN.POP.DNST,EN.POP.SLUM.UR.ZS,GE.EST,IS.AIR.DPRT,NE.DAB.TOTL.CD,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GNP.PCAP.KD,SH.MED.PHYS.ZS,SH.UHC.NOPR.ZS,SH.XPD.CHEX.PC.CD,SH.XPD.EHEX.PC.CD,SH.XPD.GHED.PC.CD
IDN,Indonesia,YR1997,0.006168900367358504,,,0.01927907736890797,0.007981534099401326,0.008380519037730901,0.004377378520988475,,,,,,
IDN,Indonesia,YR1998,0.006266316524212683,,0.3555151453816883,0.01947711617084847,0.003605015711846707,0.0037074711002893566,0.00190644059659036,,,,,,
IDN,Indonesia,YR1999,0.0063611352521205896,,,0.013367619130983954,0.005381320542924371,0.005438189576247228,0.0027547737252913897,,,0.13976945244956773,,,
IDN,Indonesia,YR2000,0.006227003020654792,0.3467447608413034,0.4224171260543126,0.015746758278096188,0.0055857769393678905,0.006410049268318398,0.003200431577020874,,,,0.0009250892268796529,0.0009112210756842055,0.0005663339628643399
IDN,Indonesia,YR2001,0.006315537862521933,,,0.01630364338915288,0.005560100650499053,0.006232375048844772,0.003068150929880999,,,0.06628242074927954,0.0010447445497419035,0.0013789348257766422,0.0007693191889503699
IDN,Indonesia,YR2002,0.006402984634383137,0.3300378095278879,0.3848441727353557,0.01507847634094796,0.007051761150489103,0.007600208939069584,0.0036904879157710273,,,0.08069164265129684,0.0012148266110484337,0.0005265431727043282,0.0008089372510112663
IDN,Indonesia,YR2003,0.006489335618603799,,0.37548877746401127,0.015408309965579866,0.008951948128807768,0.009119463468148643,0.004369348372560121,,0.015196485812655822,,0.0017430680965507637,0.0006463823463134521,0.0011701163411195956
IDN,Indonesia,YR2004,0.006572583385579783,0.3133307572166952,0.39706874471317144,0.031536490976213465,0.00953184212814823,0.00997652992706431,0.004719515476638067,,,0.06772334293948126,0.001781210660399976,0.0010134685186537079,0.001157695122319331
IDN,Indonesia,YR2005,0.006656066321991729,,0.3945961089912134,0.03175789835678294,0.010438787551740035,0.011104234328926071,0.0051871791102722905,,,0.06340057636887608,0.0024383317268019066,0.0011227299511161555,0.0012447444384822196
IDN,Indonesia,YR2006,0.006743211028541532,0.2966238059032797,0.42596976930718644,0.035390920178381476,0.01319572250094517,0.01416131816564073,0.006529856678401654,,,0.056195965417867436,0.0032726429439634223,0.001222898455316078,0.0017864637053961175
IDN,Indonesia,YR2007,0.006832352971592856,,0.4343509179019943,0.035428052453745314,0.0156624767250481,0.016788957165085914,0.007640583098506832,,,0.07492795389048992,0.004211961658713208,0.0018789823084647429,0.002571344085964722
IDN,Indonesia,YR2008,0.006922001424468327,0.27991675359208695,0.44346454979686983,0.03418545799096963,0.018499336914916214,0.019819238783333987,0.008902963176138983,,,,0.004474479329289792,0.0014055227721132102,0.002657512170568314
IDN,Indonesia,YR2009,0.00701067431006631,,0.42974863018963905,0.03268749249309166,0.020051471582714378,0.02095936182193406,0.009296157828355115,,0.01650243381218093,0.07636887608069165,0.0047299826738130876,0.0020360403835486735,0.0027921129451559164
IDN,Indonesia,YR2010,0.007099059400696278,0.26320980227867147,0.4426046290074582,0.05158238270416063,0.027728442686150767,0.029330755855152733,0.012847349689543328,0.017617706401531968,0.015908821085124064,0.07636887608069165,0.006604933213136041,0.0014830452602802545,0.0025798321036074046
IDN,Indonesia,YR2011,0.007188861332572133,,0.4314732368646393,0.05938116994515672,0.03257859519709986,0.03468634817176508,0.015003594434038191,0.01851294007695868,,0.11383285302593661,0.008342710813645828,0.0020677509644453297,0.0032034632061999167
IDN,Indonesia,YR2012,0.007279812871669734,0.24650274996747873,0.42966296772180923,0.06348948733035437,0.03460136809427125,0.03565359119221091,0.01522949621272348,0.019450041026751744,0.023150896355217856,0.09798270893371759,0.008252073678782595,0.002062062487105853,0.003556505187470185
IDN,Indonesia,YR2013,0.0073687323429784445,,0.4472946127000244,0.05703517495886487,0.03421843925825359,0.035445940703135136,0.01495827651954254,0.020307824958673976,,0.09077809798270893,0.007969605754854676,0.002374058769296743,0.0037199569306876727
IDN,Indonesia,YR2014,0.007454757555643586,0.22979579865406322,0.4835240319764786,0.06683867941178277,0.03373312879965927,0.034602664983728555,0.014434073581668025,0.02105524928751009,,0.11383285302593661,0.007943905215880263,0.004198515625269136,0.004365772545208343
IDN,Indonesia,YR2015,0.0075381140975846975,,0.4305589393471366,0.06756975000868895,0.03263008626835684,0.033438883241486424,0.013794524543930183,0.021902889077000446,0.031936364715659506,0.1037463976945245,0.00747099596963801,0.0009559002736638031,0.004869082295764205
IDN,Indonesia,YR2016,0.007618441919298746,0.21308874634287045,0.48653688316163873,0.08156574625823013,0.03530512109303881,0.036197694359868055,0.014775322661677658,0.022847869453411652,,0.13832853025936598,0.008302361224838017,0.0011383621583146793,0.006200462529548716
IDN,Indonesia,YR2017,0.007695579532919284,,0.4928934084042167,0.08840462020564152,0.038057053819248066,0.03945053109281869,0.01594182469541714,0.023821034529913583,0.04428350943844236,0.11959654178674352,0.008621953780559662,0.0015360140379156902,0.006565941605925563
IDN,Indonesia,YR2018,0.007770367519923666,0.19638179502945496,0.5257515570391849,0.09499004221296084,0.039237187312612457,0.04048582774558322,0.016202872739357183,0.024914829384302218,0.04998219161818829,0.11815561959654178,0.00865386378366246,0.000909754669903133,0.006901905297368123
IDN,Indonesia,YR2019,0.007843642384548464,,0.5252386870060965,0.08003391612522033,0.04210740588133063,0.04347013539360495,0.01723485658516235,0.025967679331948854,0.05496853852546599,,0.009262259764837348,0.0013572953591186848,0.007353602574928178
IDN,Indonesia,YR2020,0.007909900230050943,0.18802826887385862,0.5616166998883912,0.04208894932593038,0.04001225347934496,0.041137755935029476,0.016173629777443934,0.02527232918787052,0.07396414579128575,,0.010365558452261654,0.001343003698883015,0.009321570938926937
IDN,Indonesia,YR2021,0.007901752592117613,,0.5677271071546666,0.034481724038672626,0.042780885578894194,0.04608859161538001,0.01799464336303605,0.026047169171075992,0.08203727887925916,,0.01256169964786584,0.006590483120812726,0.012106531310788574
IDN,Indonesia,YR2022,,,0.5859843515941209,,0.04467260027656309,0.05123798643157102,0.019878213917478953,0.02727012889771898,,,,,
IMN,Isle of Man,YR1985,0.006168035446265485,,,,,,,,,,,,
IMN,Isle of Man,YR1986,0.006195566937044626,,,,,,,,0.09295975305710555,,,,
IMN,Isle of Man,YR1987,0.0062810392655610345,,,,,,,,,,,,
IMN,Isle of Man,YR1988,0.006384833945083751,,,,,,,,,,,,
IMN,Isle of Man,YR1989,0.006490739052471065,,,,,,,,,,,,
IMN,Isle of Man,YR1990,0.006598658659183674,,,,,,,,0.06802801852071708,,,,
IMN,Isle of Man,YR1991,0.006685473987250296,,,,,,,0.27633933584064724,,,,,
IMN,Isle of Man,YR1992,0.0067369876128544615,,,,,,,0.2758717390054868,,,,,
IMN,Isle of Man,YR1993,0.006775646814192371,,,,,,,0.2731889720980301,,,,,
IMN,Isle of Man,YR1994,0.006812483373283652,,,,,,,0.2763483259994706,,,,,
IMN,Isle of Man,YR1995,0.0068470176474316686,,,,,3.5532455483220664e-05,0.053151226356241046,0.28572567786315517,,,,,
IMN,Isle of Man,YR1996,0.00689757198764284,,,,,3.973702878358441e-05,0.05900537297733257,0.3030034961263882,,,,,
IMN,Isle of Man,YR1997,0.006975465961554544,,,,,4.587289112147969e-05,0.06735655935723402,0.3282014297348986,,,,,
IMN,Isle of Man,YR1998,0.007065063217260844,,,,,5.3705255093928946e-05,0.07785795884863783,0.35819320488611145,,,,,
IMN,Isle of Man,YR1999,0.007155331972742224,,,,,6.0883484942033944e-05,0.08715199984474671,0.39342570959296685,,,,,
IMN,Isle of Man,YR2000,0.007241092086876547,,,,,6.073841430752959e-05,0.08591567069872225,0.40201905220623463,,,,,
IMN,Isle of Man,YR2001,0.007321288345731402,,,,,6.444658101368401e-05,0.09016336070403935,0.42074557343805463,,,,,
IMN,Isle of Man,YR2002,0.007396592249082038,,,,,7.564144075159298e-05,0.10474900264578642,0.4402684088344098,,,,,
IMN,Isle of Man,YR2003,0.0074691142247928855,,,,,9.045357975719764e-05,0.12404586030450206,0.4626633632625497,,,,,
IMN,Isle of Man,YR2004,0.007539909486796408,,,,,0.00010963079287106113,0.14893464675341267,0.4831335594721042,,,,,
IMN,Isle of Man,YR2005,0.007610704748799876,,,,,0.00011779004056661979,0.15853198101903562,0.505991300707017,,,,,
IMN,Isle of Man,YR2006,0.007688694651250829,,,,,0.00013295165252362793,0.17712442135208586,0.5385165874164307,,,,,
IMN,Isle of Man,YR2007,0.007772344337520553,,,,,0.00017348976143442355,0.2286458539332352,0.573836134826654,,,,,
IMN,Isle of Man,YR2008,0.007858392237272737,,,,,0.00023029657913833384,0.3001923270125442,0.5339775925458898,,,,,
IMN,Isle of Man,YR2009,0.007946454636350268,,,,,0.0002131326417249404,0.27474322582523625,0.5280504142238313,,,,,
IMN,Isle of Man,YR2010,0.008034037392731274,,,,,0.0002299694473591561,0.29321832019501193,0.5311864442846224,0.1715540781194349,,,,
IMN,Isle of Man,YR2011,0.008084112090245921,,,,,0.0002550352707150818,0.32316561283589706,0.541122302375689,,,,,
IMN,Isle of Man,YR2012,0.008082960947774318,,,,,0.00025987371059916614,0.3293434410125288,0.5672389579185177,,,,,
IMN,Isle of Man,YR2013,0.008064350811150095,,,,,0.0002719520957264544,0.34544522429285224,0.5977548143222049,,,,,
IMN,Isle of Man,YR2014,0.00804056053340368,,,,,0.0002994255195453965,0.38146739980689415,0.6086358834279222,,,,,
IMN,Isle of Man,YR2015,0.008011494185995715,,,,,0.0002752004222774285,0.3518755676350685,0.590340862790801,,,,,
IMN,Isle of Man,YR2016,0.007997776404875824,,,,,0.000265939144732969,0.3406166546445985,0.5853485875804637,,,,,
IMN,Isle of Man,YR2017,0.008010247114984806,,,,,0.00027112133129602917,0.3467139057330226,0.6146983097868841,,,,,
IMN,Isle of Man,YR2018,0.008028953180148332,,,,,0.00029100398260611075,0.37127387165590575,0.6525673872599139,,,,,
IMN,Isle of Man,YR2019,0.008044109889357743,,,,,0.00028414099128696224,0.36183539824407596,0.655272203009673,,,,,
IMN,Isle of Man,YR2020,0.008054949814298705,,,,,0.00025964054149320477,0.33019114869283456,0.6127681929656937,,,,,
IMN,Isle of Man,YR2021,0.00807576630732683,,,,,0.0003080775501320577,0.3907805945020859,0.5589421966999594,,,,,
IND,India,YR1985,0.01434179617091341,,,0.013852814195738186,0.009604580761354283,0.00903164108236444,0.0012372088625621051,0.0018466272340206598,,,,,
IND,India,YR1986,0.01466615259056346,,,0.014951929546507977,0.010324238827109283,0.00967157155529358,0.0012955849647618535,0.0019247422641565334,,,,,
IND,India,YR1987,0.01499419126629426,,,0.015793594454755117,0.011406255743460183,0.010838735322049783,0.0014201876723334956,0.0019750882346078495,,,,,
IND,India,YR1988,0.015325474516058998,,,0.015605457592911638,0.011990771726943052,0.01152068114093592,0.0014769275309633291,0.0022102911584875396,0.04784518580078356,,,,
IND,India,YR1989,0.01566171290259318,,,0.015476732371650311,0.011812347654729292,0.011499409557103352,0.0014425660559908777,0.0023414982280008274,,,,,
IND,India,YR1990,0.01600082944536631,,,0.01245664064205764,0.012699298248451181,0.012468057353582335,0.0015309474258184057,0.0024571867737016168,,,,,
IND,India,YR1991,0.01634086734756071,,,0.011634779614004552,0.010437847894913784,0.010491928114086462,0.0012615015483270757,0.0024156349314230106,0.14484150540187582,,,,
IND,India,YR1992,0.01668352965008493,,,0.011912033936721257,0.011230427404084491,0.011195107591381825,0.0013184150112131483,0.0025432443507388035,,,,,
IND,India,YR1993,0.01702885778735432,,,0.010426742922167484,0.010367842309346677,0.010848914928599874,0.0012517463981051753,0.0026520890512498393,,,,,
IND,India,YR1994,0.017376639493047515,,,0.012882424066229721,0.012444891712476537,0.01271261106048129,0.001437436899522843,0.0028362636287954006,,,,,
IND,India,YR1995,0.017726380000152944,,,0.016674867123390353,0.013943602788062672,0.013994732243270292,0.001551201648555034,0.003065807928368418,,0.20605187319884727,,,
IND,India,YR1996,0.018075843137594493,,0.4742433804255144,0.014981635366799053,0.014360557991182696,0.015261622382777148,0.0016589357748731763,0.003313362505985922,,,,,
IND,India,YR1997,0.018426261179230265,,,0.0180710406770709,0.015665269161599146,0.016153892466424107,0.0017225462909304739,0.0034189942304257,,,,,
IND,India,YR1998,0.01877751294824582,,0.4736627428335506,0.01941770453026632,0.01588141000908835,0.01636690251262816,0.001712626403858881,0.0036201944624060754,,,,,
