,country,domain,first_day_above_hundred,alpha,days,r_s,r_dth,p_dth,r_dthdecay,k1,k2,jump,t_jump,std_normal,k3
93,Lithuania,,2020-03-25,0.6486697828373387,3.753423306361026,15.0,0.4306835641851342,0.24849046269808928,0.40503883283265846,3.869081027581202,0.733322605694439,1.7323879310376569,152.91646275310472,17.466959379181596,0.694533580394189
94,Guatemala,,2020-04-11,1.5,2.657165146450491,9.202615459834252,0.3941534596184912,0.03887864771518216,-0.2,0.0011275494038554624,0.7532596583319258,4.999999599954509,258.5172746448349,69.43968015072277,0.30921489749148745
95,Fiji,,2021-04-26,1.4387066617519868,-81.06804592721575,14.997900921541804,0.49569704647794693,0.023495258806169754,3.8371754220604064,0.001,0.35919484057871737,5.0,49.61693433083441,20.7203898793559,0.3284129130916255
96,Malta,,2020-03-22,0.8218284638694344,-29.201049063457646,14.950933605639444,0.4895213458175289,0.22063203522448632,2.753347714794522,1.291986134194491,0.5150634366769714,0.4021308300636554,13.842524380424155,56.35212468523262,0.37361480398550306
97,Afghanistan,,2020-03-30,0.20641546754997236,39.60356068518845,13.490281161244784,0.38041987278732475,0.25,3.43094375886185,4.712392747199483,0.7841105158063937,5.0,16.71980285471069,1.9154766869386772,0.5574387182246933
98,Albania,,2020-03-25,1.4752332651512599,-55.16501990197543,13.576688134593217,0.428799517899647,0.24999995700617614,4.312851250645678,0.003514155110861056,3.57564320524533,4.999178663482742,49.16983754246208,20.17795507945237,0.2592570001215335
99,Kenya,,2020-04-03,0.1,-199.99757985177183,14.999688945537217,0.35462544044067473,0.25,4.999573536608977,2.271119651783378,0.27662022064529446,3.130651886020999,273.72447551187236,9.184267847162678,0.4345128164972196
100,Isle of Man,,2020-04-05,1.4540779902154026,-134.7959711658683,14.999064451045605,0.2221072689893054,0.18078603849813318,4.050610624838318,0.930854540100886,0.0014151474300779965,4.992370630169594,20.67769147726021,4.971749874872776,1.8654097078750786
101,Georgia,,2020-03-30,0.7006541282072677,1.2581288105972348,15.0,0.232079114506524,0.25,2.4183609038880065,1.1972988704436318,0.4614479573165152,5.0,144.74274176307287,49.81183818534424,0.6176053628420559
102,Maldives,,2020-04-24,0.14498417254142346,4.51073131152068,15.0,0.3700364191286694,0.02942203259392024,1.2145936098269496,4.573209911966746,0.9384761282510328,1.437517977440586,72.91700101028829,6.902755957659414,0.985551967344944
103,Guinea,,2020-04-03,0.5242633776325168,6.536409534016189,3.915889836513501,0.17493729901827368,0.07462949660602455,1.997824954114387,2.93859867642188,0.0016358695326681933,3.3053729229903968,159.40121599762972,93.57705145013232,0.4153107554642446
104,Malawi,,2020-05-26,1.5,-200.0,15.0,0.2025186139111678,0.010157845831744474,4.703647919139234,1.4337360412853668,0.8154524354944505,4.411905119913952,12.29016953665053,0.20316582738965963,1.997606158681527
105,Canada,Manitoba,2020-03-31,0.3835005612919003,-49.37207782305698,13.519853461692117,0.4524786116404062,0.25,5.0,0.001,4.9999494556914925,5.0,6.967190297210752,0.8526244442977656,0.24495907662269892
106,Australia,,2020-03-12,0.836846505393748,51.814354523680436,4.937885253029697,0.4040703874607533,0.1390823360425455,3.860639219312101,0.014477247824045816,4.100948563555687,5.0,13.178933439376804,0.12051402884640652,0.3268254535664442
107,Liechtenstein,,2020-08-23,0.1,-139.460827215121,15.0,0.3470080344712399,0.17594469969131832,2.2524434211843176,0.01958133167307886,0.4428691743647641,0.0,300.0,0.1,0.2
108,Kyrgyzstan,,2021-06-27,0.1564446039939783,-9.405458888062697,4.456792816211927,0.48055807069791495,0.24999085490755232,2.5939944456994017,4.938655513582954,1.9828043303772522,2.5224399106653195,66.75143026262751,97.2977519717784,0.3368605351248374
109,Martinique,,2020-03-30,0.1,-199.99991343174358,14.99956070508372,0.10959701721345337,0.22192384366619353,4.999727905878091,1.2177876573238475,1.5652604128829113,3.758880441323438,262.3060292671313,8.096149043235647,0.21760279925153253
110,South Korea,,2020-02-21,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
111,Moldova,,2020-03-24,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
112,Marshall Islands,,2022-08-10,1.5,100.0,15.0,0.5,0.25,-0.2,5.0,5.0,5.0,1.6639591722081486,100.0,0.5121026843487486
