,country,domain,first_day_above_hundred,outsample_mape,overall_mape,train_mape,outsample_mae,overall_mae,train_mae
94,Liberia,,2020-04-20,76.88126021344014,28.65957214484886,2.4521329771362126,544.6786460874202,194.80184631198642,4.651411651424568
95,Jamaica,,2020-04-16,478.28060317661885,171.3475870474271,4.536165238083746,3107.755607458189,1104.211000846026,15.32806246985035
96,Lesotho,,2020-07-09,29.930383205771587,13.489622583423111,4.554426593016328,367.26120682321687,143.10081579044416,21.27451631611118
97,Latvia,,2020-03-22,28.26089443728248,21.279360045486648,17.485047876032393,288.7727314091959,144.9268829364005,66.74979137509858
98,Dominica,,2021-01-07,1393.4983665366976,491.5123621256689,1.3025771196751101,2146.79749915989,756.9434781538271,1.5880319548799946
99,Egypt,,2020-03-15,11.124350803004122,13.698999084059722,15.098264454198635,1261.0551201464511,521.5289933508234,119.61262009233008
100,Kuwait,,2020-03-15,12.910759699371107,16.75084424390225,18.837846713756136,1769.679706595002,678.1122142735361,84.86901192491354
101,Kyrgyzstan,,2021-06-27,10.775254975584106,20.53284488168391,25.835882874129467,6246.827782279029,5364.896051429149,4885.585328141172
102,Haiti,,2020-05-07,8.151665880873567,6.928609240253866,6.263904544264898,512.7146782603701,217.1554769415978,56.525476224873756
103,Bangladesh,,2020-04-06,24.639876621210433,9.908369983497082,1.9021163760441706,17924.23019594308,6353.8678372323,65.62742488948392
104,Congo,,2020-04-15,16.184334908841592,8.841782976498358,4.851265621963995,135.38695810861233,55.6763858222084,12.355422623075828
105,Indonesia,,2020-03-15,1.720558318148745,5.229872484368588,7.137108444270678,297.47539301839174,143.32504164239248,59.54767676413202
106,Kazakhstan,,2020-03-27,20.20602236605884,9.619454947725949,3.8658856986319905,2007.9509204183728,741.9871740604073,53.963398865860654
107,Mauritius,,2020-03-29,8.505460497311237,6.725614000529598,5.758306121843923,28.37031265927757,21.321773565268025,17.491045796784576
108,Argentina,,2020-03-13,16.603366040164204,7.6666045502531315,2.8096689579101586,1695.2968728077988,617.2423790881733,31.343197718811727
109,Madagascar,,2020-04-12,15.853510435994867,7.359593634085593,2.7433345026131644,194.95709460127725,72.15916531372868,5.421160266147938
110,South Korea,,2020-02-21,999.0,999.0,999.0,999.0,999.0,999.0
111,Moldova,,2020-03-24,999.0,999.0,999.0,999.0,999.0,999.0
112,Cameroon,,2020-03-31,20.33321141166591,13.18270658109718,9.296562651440265,1256.2323955500842,494.82727067198425,81.02013758606022
113,Russia,,2020-03-19,999.0,999.0,999.0,999.0,999.0,999.0
114,Libya,,2020-05-30,17.547519518976543,8.611003839706955,3.7542018401039177,625.7495299424511,231.50095443931946,17.235424274573973
115,Reunion,,2020-03-27,999.0,999.0,999.0,999.0,999.0,999.0
116,Saint Barthelemy,,2020-11-13,999.0,999.0,999.0,999.0,999.0,999.0
117,Isle of Man,,2020-04-05,4.1016128047353035,3.7135512482600395,3.502648228436525,13.863451280005327,11.301421237066467,9.909013605034483
118,French Guiana,,2020-04-24,51.3893245509397,26.36062374412375,12.758068957810734,1390.7402657142634,507.75009461044243,27.864132054018068
119,Georgia,,2020-03-30,8.87260847028513,4.91958468075085,2.7712021864387393,68.00038513779471,29.592639190786787,8.718864219586818
120,Mali,,2020-04-12,4.961556406869986,3.950374273035954,3.400818765517462,78.8505863789413,36.29045750922725,13.159952688730494
121,Luxembourg,,2020-03-22,11.398079632927626,16.792061744046798,19.72357376095939,346.24144382527766,360.8456993785575,368.7827947879486
122,Maldives,,2020-04-24,20.08929140976374,16.454478589187048,14.479036838873641,446.98693695597365,220.72706060951512,97.75973650817905
123,French Polynesia,,2020-08-12,24.22263276873637,10.358028265398925,2.8229171222807437,808.7413838399917,292.45207915185324,11.860065734386566
124,Jersey,,2020-04-03,1.9365008975764553,1.9657353601759415,1.981623655066967,5.682578045725865,4.797432567149311,4.316375241835967
125,Malta,,2020-03-22,140.31413834276393,55.52090376909206,9.43762410948778,822.7757392880306,304.8841069498578,23.421263287807392
126,India,,2020-03-15,21.40904056990419,11.758097901519166,6.513020364353389,19589.507736782754,6987.686075023612,138.8699545023397
127,El Salvador,,2020-04-10,9.984468863504825,4.8062620327667105,1.9920191899742548,332.96986355287385,122.59393942623514,8.259198053061919
128,Australia,Northern Territory,2021-02-05,2.1365304735760264,1.071323755055673,0.4924070602076545,2.3921529590324617,1.174875854496326,0.513312210726687
129,Bahamas,,2020-05-30,49.63307235239293,17.629458122908908,0.23618951992846757,243.85517482882912,86.0246525083009,0.2471947254051474
130,Montserrat,,2022-01-09,2.8799362123372076,2.5257903515308344,2.3333197750056316,4.756339046352562,3.983400218240157,3.563324768179067
131,France,,2020-05-17,6.424767775775505,39.950020766802346,58.1702669575778,1413.8909150429736,1693.7634085462537,1845.8680245806447
132,Australia,Queensland,2020-03-19,1.2215664036533993,1.6438797177397526,1.8733978232214665,12.883669563984432,11.683058288457424,11.030552160453615
133,Jordan,,2020-03-23,19.145067661645555,9.89267271500516,4.864197200526679,117.06134465160194,51.10127444556782,15.253410203157962
134,Nauru,,2022-06-19,6.926027835514848,19.540144920462357,26.395643336194695,314.8786826802033,470.4923787700725,555.0650396884796
135,Mayotte,,2020-04-01,3.079775299230628,9.104665124392247,12.379061768501822,54.23923969377957,44.234221359279566,38.79671139487739
136,Mexico,,2020-03-13,28.912165402633676,15.000414837069338,7.439680834045237,18242.60093440897,6491.979798210482,105.77265897217411
137,Malaysia,,2020-03-10,5.097780079341983,10.794673492133048,13.890811216476017,338.22200713930107,198.17127234874917,122.05674257127536
138,Niger,,2020-04-02,6.4646804863102645,9.97468599219943,11.88229768018267,61.3226421364029,60.488488825497896,60.035144634788644
139,Netherlands,,2020-03-08,5.418691832772272,19.358885962357636,26.935078424088804,2191.030429400123,1616.2844653675015,1303.9225283932503
140,Guyana,,2020-05-12,15.772006105986936,7.068762408158495,2.338738659338691,45.93139841031465,18.464449276710663,3.5367595301867567
141,Italy,,2020-02-24,4.608033626711894,14.4987830401954,19.87419033013209,8891.380000241452,3715.8493518725327,903.0609560198582
142,Syria,,2020-05-26,999.0,999.0,999.0,999.0,999.0,999.0
143,Nigeria,,2020-03-30,13.701583638303285,10.678767655719144,9.035932882575587,1425.5543265150325,535.4842401714706,51.750497593447946
144,Greenland,,2021-07-28,20.426872886851815,8.548095327194826,2.092237957816027,111.03972592954858,42.30818668211404,4.954089265030038
145,Marshall Islands,,2022-08-10,44.51018357486751,46.76552606504219,47.991255679267546,6819.781737593759,6185.047604763253,5840.083402137977
146,Pakistan,,2020-03-19,11.476077667188513,10.910389022527658,10.602949541733722,5227.586899889052,1977.5445107972325,211.21712542124442
147,New Zealand,,2020-03-23,0.9217946104116405,2.0376649285747415,2.644116188445991,10.612759717966265,14.733497453844505,16.9730288320392
148,Mongolia,,2020-05-16,8.061433994441476,5.64803394973062,4.336403490648637,19.52356919011094,11.738514625093046,7.507506709322449
149,San Marino,,2020-03-17,2.648203777283809,6.930419661003273,9.257710902155159,17.30193293348223,23.061458042393546,26.19163473201926
150,North Macedonia,,2020-03-22,10.9715789556413,16.010227657127924,18.748623690544562,211.67063745540523,126.74788872153182,80.59422093138319
151,Japan,,2020-02-22,12.567816409167005,8.341770341370246,6.045006174089399,1286.427942645834,474.34941944298475,33.00239596317534
152,Turkey,,2020-03-19,999.0,999.0,999.0,999.0,999.0,999.0
153,Palau,,2022-01-16,6.621619512353217,6.563959877984563,6.532623120175512,259.6520244020852,179.86894649349549,136.50857806491413
154,Mozambique,,2020-05-12,21.152137792218724,10.47437225404729,4.671238809388907,259.1630028616997,99.95117994584737,13.423015317666783
155,Papua New Guinea,,2020-08-03,1.762165235119704,2.374574750315984,2.7074060085748317,9.513673488395579,8.192600829743528,7.474626558736979
156,Tanzania,,2020-04-18,999.0,999.0,999.0,999.0,999.0,999.0
157,Romania,,2020-03-14,6.826003155154551,4.311939067028861,2.9455998886996855,1095.58380250939,417.80106302512576,49.44087852280843
158,Guam,,2020-04-06,6.49119052900458,3.1162862967742613,1.282099214040391,11.176035686615286,5.082286489524129,1.7704662737137173
159,Nepal,,2020-05-07,39.50343283215379,19.701302021837744,8.939274407535553,6465.656441496674,2321.6530212764933,69.47724941769938
160,Seychelles,,2020-07-10,3.910399554871455,2.247134548066599,1.3431861748030918,5.351831335573442,2.9343800982133637,1.6205479039959305
161,Namibia,,2020-06-26,14.123266486587182,8.13961515775652,4.887630739913765,867.2914464340743,329.8872947112768,37.81982094888684
162,Saint Kitts and Nevis,,2021-06-10,4.8231568939422065,3.6103848679777055,2.9512696364752595,30.93988669257802,17.378582757057757,10.00830887905761
163,Liechtenstein,,2020-08-23,51.07143410159607,18.515440233118632,0.8219653045982813,260.5567359354633,92.34369185955524,0.9235592096052195
164,Slovakia,,2020-03-19,1.8083556179408367,2.688283780747022,3.166505608359079,26.469409592451886,23.551689810380644,21.965972537515835
165,Paraguay,,2020-04-06,10.046215481026334,16.969344002926217,20.731913851784846,106.15608398592548,75.18064336700452,58.34616476976488
166,Sierra Leone,,2020-04-29,10.619001125531417,5.789740228711285,3.165141915222083,149.703975110772,62.62249039241243,15.295596523738764
167,Philippines,,2020-03-15,16.190415677099267,9.161426801164543,5.341324151200018,1915.4953083896696,728.0066823790247,82.63242911236993
168,Ireland,,2020-03-16,1.4148387306360966,7.036797584999818,10.092210005849669,327.7821439767703,204.95729189416775,138.20465489275333
169,Switzerland,,2020-03-04,0.5595295524731794,4.179552437631796,6.146956179565824,165.14032967801847,193.40262140306356,208.7625625579794
170,Myanmar,,2020-04-19,176.9243976509019,64.06042384070888,2.721307639517019,513.1389336690407,183.57824585594386,4.4691763923042265
171,Thailand,,2020-03-15,1.710707915631347,3.2260437623859812,4.049595853013501,51.522608527696356,45.58925908021405,42.36461264136497
172,Mauritania,,2020-05-20,5.4552440109928035,5.349107036448663,5.291423898109455,319.300913537753,135.02493990740388,34.87495423873585
173,Saint Pierre and Miquelon,,2022-01-05,3.9521696287970807,9.115850675812801,11.922199070930036,46.28634461032625,42.30794713424289,40.14577459289321
174,South Africa,,2020-03-19,4.302811520560194,19.91946304620212,28.40677365796404,765.4570808433209,453.41956513291814,283.8339587685688
175,Sao Tome and Principe,,2020-05-04,14.110265087215115,9.223725239732216,6.5679970617523775,101.43711010269595,50.920969278161785,23.466544917001894
176,Tunisia,,2020-03-25,4.806241800193572,4.4472227062996215,4.252103633531168,50.35066927668948,33.60262371499657,24.50042504016346
177,Ecuador,,2020-03-18,7.788034555777909,24.530673442743154,33.62993370739819,2398.8137106100803,1693.4992118634518,1310.1761147185453
178,Solomon Islands,,2022-01-21,13.605810348412867,9.699130087249696,7.575934293139279,1388.3818291802409,599.1251145750747,170.1812479418319
179,Saudi Arabia,,2020-03-15,34.563692658693405,27.90881693897035,24.29203665651216,17315.854308161248,6454.574382466094,551.704857631772
180,Sudan,,2020-04-21,49.99300631866687,20.451022451220176,4.395596436303493,4458.275934380069,1597.5261785507498,42.77087646959862
181,Spain,,2020-03-01,6.69708743791925,41.648846465720915,60.64436767648269,14734.465328725228,9795.88189412433,7111.8691579281885
182,United Kingdom,,2020-03-04,16.325931442700455,8.658678422462684,4.49169308537694,29933.3824587612,10824.670179632785,439.50046271517016
183,Puerto Rico,,2020-03-25,3.0730941516501717,2.7695729752905387,2.60461581422552,43.35468565884877,25.77526738080237,16.22123570795106
184,Portugal,,2020-03-15,3.3810433726683455,25.150035079714762,36.98100883354434,910.4189612010878,913.9882155311158,915.9280276670012
185,Saint Vincent and the Grenadines,,2020-12-21,13.24325785869741,6.708364019778515,3.156791281235636,188.56845150094833,74.47120277929527,12.461828474049053
186,Panama,,2020-03-20,24.50698210311916,11.136017027319294,3.8691881817758897,2517.62487985353,913.6318806661484,41.89655502083239
187,United States,Utah,2020-03-20,4.952873973569153,12.807249433929279,17.075931749342395,367.64991541971676,234.50169734973008,162.13853535517214
188,New Caledonia,,2021-03-18,0.4685461942248159,0.7198902153830785,0.8564902268821342,0.5882264990335813,0.8751704011989638,1.0311181741149327
189,Morocco,,2020-03-23,2.152497967413506,4.192038106791155,5.300483834713789,156.38840541225403,78.41077613416894,36.031629787383565
190,Poland,,2020-03-15,5.816565348290945,9.705975789326196,11.819785811627966,1091.7907599811529,469.2722368141344,130.94695248423318
191,Iraq,,2020-03-15,14.436104545063316,7.0644332004674695,3.0580900784045095,443.01306741646846,170.83873724294824,22.917905626904645
192,Sweden,,2020-03-07,5.363821032454755,6.252646627797205,6.735704016570273,1292.3292812607149,528.5419012453954,113.44006428054772
193,Lithuania,,2020-03-25,8.202365315838742,4.626946607742303,2.683784266385543,127.60807414397607,56.04312651544762,17.149133239073468
194,Tonga,,2022-02-13,10.257052789048833,10.228767968271328,10.21339578306616,902.0576611456991,395.1922091849202,119.72185485840991
195,Somalia,,2020-04-18,2.654478450414923,2.9614551639120985,3.1282903342909987,72.2200411873368,39.12758316364917,21.142551629036326
196,Malawi,,2020-05-26,9.385709541878406,13.787992266422952,16.18053722541455,348.2262478287253,170.42647414809286,73.79616236514048
197,South Sudan,,2020-05-09,3.3116161740299894,3.974070620465722,4.334100210919926,70.38150171726066,42.03415118381746,26.627982415641807
198,Costa Rica,,2020-03-22,10.82349615095637,7.099043360073303,5.074884234593373,99.32308316141534,48.14049341859383,20.323868558364747
199,United States,Illinois,2020-03-16,11.981562450928347,9.170093456172731,7.642121176414244,10763.191369024482,4348.133909124145,861.6896374391803
200,Slovenia,,2020-03-15,6.305128196656281,10.475771847447987,12.742426005486953,91.41765146614007,82.29098372684294,77.3308382163554
201,Ukraine,,2020-03-22,6.7638065565228995,20.994247364991807,28.728182586985774,1155.5139335681563,692.9141945278332,441.50129287548367
202,Suriname,,2020-06-08,3.212634855373316,4.018150621604446,4.455930929338757,78.54042798756873,37.82076536187804,15.690513934872218
203,United States,Wisconsin,2020-03-18,227.63247973443222,83.21432089450752,4.726191090200631,34141.282957004405,12058.921412354073,57.63796417454614
204,Saint Lucia,,2020-11-05,16.376367717330464,9.648536567158114,5.992106594238359,64.57384066621142,30.460540261307433,11.92070308472918
