country,domain,first_day_above_hundred,alpha,days,r_s,r_dth,p_dth,r_dthdecay,k1,k2,jump,t_jump,std_normal,k3
Iran,,2020-02-27,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Australia,,2020-03-12,0.6769859692233963,10.205436837424234,15.0,0.4211649755956926,0.25,5.0,5.0,1.389709722871823,1.7896349701124663,256.03349207837755,24.79558238941417,0.8370928452486843
Belize,,2020-08-08,1.1448552845466022,-71.10372524922036,1.0,0.02,0.0997773292830207,4.954056720563966,3.399251890663173,0.1044716989056182,0.3897448121160734,18.891036604225818,3.892908891488702,1.300245992331866
Canada,Manitoba,2020-03-31,0.2533186152747261,-140.16085738196654,6.928244570950261,0.3732213516605845,0.01,0.1599851589290909,0.0018350419780526,1.7018968717319942,3.5131938537108582,194.36151961329847,98.07049816370169,0.6478050956995641
Dominican Republic,,2020-03-24,0.3013000232785201,24.26040409592237,14.826576377084518,0.106212233565799,0.2286510027973991,0.2508299095518203,0.112774211377566,4.717808549218058,4.463149139465172,35.41791359182605,1.8233211445282929,0.4949289967028392
Egypt,,2020-03-15,0.5635923208937749,7.90341892496543,2.6148503691181646,0.4414688832534265,0.037470965761348,4.207782349128591,3.466441632371722,1.63430899209944,0.663033372376396,52.93519242076978,82.3394199064361,0.2000297259503866
Croatia,,2020-03-20,0.1589417645247401,22.992817314517264,7.882419823824389,0.3585643366193269,0.01,5.0,4.966993833607215,0.2858371067462725,5.0,139.19368622910136,36.373214455223945,1.398223100305934
British Virgin Islands,,2021-01-06,0.4287418353698082,12.819068809736304,15.0,0.0824428202636293,0.1119876571719309,2.9506192213875155,0.0021681734647069,0.021132358170525,3.168033050338219,62.748646225267606,17.944817000641756,1.4949708762499143
American Samoa,,2022-03-01,0.8998056818269313,18.82577961220512,15.0,0.02,0.0838348452830684,5.0,0.0022929021868742,0.634907636322107,1.8640520178333124,99.83468477647526,35.22694525042146,0.2013305561295379
Finland,,2020-03-08,0.6397416799796752,5.579377639841076,5.718838649332942,0.2002643141922815,0.25,2.589540123011571,4.5289271852933695,0.001,5.0,259.8135747108697,100.0,1.2018256147584876
Australia,Queensland,2020-03-19,0.1,4.557747783289842,15.0,0.1290057178105739,0.25,5.0,4.999967062933611,0.001,5.0,43.89104835152328,3.3916567033171185,1.0722710972661962
Canada,British Columbia,2020-03-16,0.4706634422140555,-16.960984233138582,1.0,0.2976367950928323,0.25,3.3038630710782555,4.50164381141006,0.0785425012257408,1.5703910068029026,31.654856000287875,3.222221306162085,1.7791853774256263
Antigua and Barbuda,,2020-09-28,0.2506513676587443,19.59022265120501,15.0,0.3717597783594807,0.01,-0.2,0.001,0.2022347488966652,1.7212578058831478,72.27970496079053,28.138096992128368,0.2
Kosovo,,2020-03-30,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Central African Republic,,2020-05-05,0.2371141324291896,29.855447993432687,15.0,0.02,0.010113507067759,2.070548056281722,3.1072712522273256,0.001,0.8740711879788018,54.11067215097958,97.68873420018735,0.4524601868936743
Burkina Faso,,2020-03-24,0.3318767857539184,13.0409856801937,14.709764683123328,0.0298832479337026,0.017418406503713,2.303554006552997,0.1712491071437811,1.6689235611296056,5.0,58.66240302388099,13.90642574849332,0.3855822204162462
Laos,,2021-04-23,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Ethiopia,,2020-04-19,0.2343023491157517,14.670983977616329,3.193468013948301,0.1516761430650298,0.1342375425917092,1.5765220762553496,0.1277070591931905,0.0881402192691436,4.271606584139379,103.90229218244482,99.16238227491888,0.3070687729919122
Afghanistan,,2020-03-30,0.7114566448799513,-76.91765719145327,1.0955507542339684,0.2951800102086609,0.2324960933671818,2.087882303016868,0.2312212829303642,1.8271854894249169,0.8709165802152482,55.25178830680333,65.63542219183962,0.7818557838635489
Estonia,,2020-03-15,0.6092123293530886,8.466237727623723,15.0,0.02,0.0485740860047105,4.999782297030567,3.9108991215180384,0.0599929566839332,3.2091543397232285,282.72648477272344,14.064367799273944,2.0
Djibouti,,2020-04-08,1.3665608599349213,-59.818774005081096,13.50378475957086,0.1764175586886743,0.1974069536721522,4.999538927131882,4.935405222475887,0.001,1.5734493650413497,40.58236401752489,7.283904825536701,1.9660755431386845
Cook Islands,,2022-03-06,1.4999722268634164,11.49395605673802,14.1426627217919,0.4837610237788131,0.25,2.096045700809628,0.5830927253603965,0.001,4.9986197337950085,43.75877547878755,11.903053771744366,0.2
Canada,Saskatchewan,2020-03-27,0.2538298181164165,-3.7000815097418576,4.413838487867643,0.0993973672653674,0.0213367929265552,1.13470411792834,1.6422591340209594,0.9119744676521128,5.0,28.50021588047398,4.859213484283554,0.6912837208173757
Faroe Islands,,2020-03-23,0.1,-198.48699565591696,14.925206495984671,0.2958329265260077,0.0192072625904506,1.1566258256835695,1.4298161758473034,1.333024756822912,2.2427562976410726,150.38337366302483,12.732322936433851,0.2731243627729308
