country,domain,delphi_insample_mae,delphi_outsample_mae,delphi_insample_mape,delphi_outsample_mape,selftune_insample_mae,selftune_outsample_mae,selftune_insample_mape,selftune_outsample_mape,guided_insample_mae,guided_outsample_mae,guided_insample_mape,guided_outsample_mape
Bhutan,,5.748644933588951,16.180893061292835,3.6451221448597977,5.7014331320849925,380.7960205078125,350.7141418457031,0.6867467164993286,0.564733624458313,615.9879760742188,611.141845703125,0.7747492790222168,0.6933318972587585
Brazil,,458.2921499704902,91619.03742557098,10.43640135793006,34.46846190683045,1372.6202392578125,104498.875,0.1511979401111602,1.2341262102127075,1822.1221923828125,96290.75,0.1140589639544487,1.0263161659240725
Bahrain,,193.56640624940647,2143.907384868222,33.7385725361653,43.88086653995802,151.52613830566406,1204.1036376953125,0.2322820872068405,0.3553462624549866,171.8960418701172,1730.4031982421875,0.2596867084503174,0.6390103101730347
Canada,Alberta,291.3599088447149,196.84444421491423,22.709598520770538,2.976113389368114,187.82025146484372,1628.2652587890625,0.113146848976612,0.1989000588655471,171.1237335205078,1333.4296875,0.1209841594099998,0.1694991290569305
Australia,New South Wales,145.02861377837286,216.1579427074304,11.58963024951824,7.07335426866004,134.01495361328125,167.88023376464844,0.1089710816740989,0.0520609505474567,143.7047882080078,118.85589599609376,0.1270964592695236,0.0374289937317371
Canada,Ontario,86.62074585118422,4761.048625618962,6.1151729067604,21.83753418172594,830.5097045898438,2997.951171875,0.136686161160469,0.13173308968544,1089.64501953125,2072.79345703125,0.1889497190713882,0.0962544456124305
Canada,New Brunswick,3.7617731118396014,13.344953402717666,3.209378967491809,9.143318143242556,439.5302429199219,500.9367370605469,0.763482391834259,0.7857922911643982,828.4296875,924.233642578125,0.8529624938964844,0.8712681531906128
Cayman Islands,,5.482007060488352,3.6766711085090336,3.3215013734205843,1.819448379695528,429.9015502929688,484.2174072265625,0.6970784068107605,0.7053451538085938,790.6679077148438,880.3348999023438,0.8032714128494263,0.813156247138977
Australia,,267.2018547056087,351.69727547513367,13.288161033123693,5.12275001613742,717.630126953125,1251.1102294921875,0.1850922107696533,0.1535652428865432,814.1271362304688,1350.36962890625,0.2233097851276397,0.1637516766786575
Belize,,25.2706697096852,393.8135628395536,4.714219405892157,16.81476138089172,70.58749389648438,394.9353332519531,0.1160910427570343,0.2230398505926132,94.07723236083984,430.7550659179688,0.1469342559576034,0.2496409565210342
