,country,domain,first_day_above_hundred,alpha,days,r_s,r_dth,p_dth,r_dthdecay,k1,k2,jump,t_jump,std_normal,k3
73,Burundi,,2020-06-16,0.37498080376134796,23.263716463093303,15.0,0.1705284752343489,0.01,0.2665071006145384,0.001,0.4645108534196297,5.0,113.3475113819591,33.83868533278179,0.20001447051821894
74,Guadeloupe,,2020-03-31,0.3822828177490499,-199.99311895196587,14.999407417098727,0.02,0.2499807084646899,4.981127279445023,0.022195054739724714,0.13782876632461466,3.6515388206351482,100.71610083753514,41.01161807096179,1.9809339567813524
75,Iceland,,2020-03-15,0.2530790459188545,13.978145008823926,15.0,0.08200082619994707,0.24229479655118882,0.10587107018732071,0.6755507278159693,0.6874737554770959,0.6337949079461396,198.7782101589255,13.462407814511499,1.9926524540803539
76,Ghana,,2020-03-27,0.2959174560918614,54.62744697830563,11.587455355387988,0.19734045918616,0.17822457860769614,1.6681402471534754,1.0907065189165606,0.8653587150897705,5.0,40.40847440208338,1.8283868632020357,0.6337180729472216
77,Cayman Islands,,2020-05-21,0.28278624740021563,15.942566398482084,15.0,0.5,0.25,1.493977917792709,0.001,0.6561133508293449,5.0,39.283127886053755,1.7189660781800238,0.2
78,Micronesia (country),,2022-07-22,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
79,Denmark,,2020-03-11,0.360500980201453,21.006598711863788,15.0,0.25031506633264705,0.16245127202895518,0.5698109981256491,1.4726600840149646,3.0768080418006636,0.3984491519701948,28.937869669171107,92.70880964387848,0.21402105229808976
80,Kiribati,,2022-01-26,0.47167429868032884,5.879802500917976,15.0,0.02,0.015951581498900094,5.0,5.0,0.5403674978009793,4.981507762524919,45.0564886011753,2.7559373050219484,2.0
81,Hungary,,2020-03-21,0.3125782719380335,17.22745284535834,15.0,0.02959326357217875,0.010734099774877633,3.158956505618062,0.006157969217224599,3.867519395286576,0.8805859210227256,28.382998203978524,12.635956506694992,0.4660322631712737
82,Gibraltar,,2020-04-08,1.4999896591509534,-98.27197887859921,1.0000216222668146,0.16168466312869495,0.08495361272133468,-0.12167314975461993,0.013906170176084226,0.23116857316668202,0.016895124581040522,57.292844862508275,99.96030874750932,0.7971623120371866
83,Cyprus,,2020-03-24,1.4935028161646655,2.964231514541637,11.28886974853155,0.17717468742011327,0.015023693081658993,1.6324075556480984,1.4567654587693128,0.002312012693688568,3.0984944551987637,63.81316169980377,11.402858734306031,0.8999969825482973
84,Eswatini,,2020-05-02,1.0035806866656896,-19.020066918846258,1.117914343267191,0.09648178337594478,0.036565686917746656,3.9558380108140456,1.2879980584150716,0.6974121594234888,4.8519715560266645,34.66692584107468,0.8474018252002423,0.26812776428669677
85,Croatia,,2020-03-20,0.12115577921942311,21.974460861432803,15.0,0.32765402958353496,0.1342917716501988,1.3400352221918166,3.9036541373689646,0.18617162965790388,0.5473113042291008,3.547473168592226,34.72196494138874,1.8019259143449342
86,Guatemala,,2020-04-11,0.12956148787898397,87.37369661213462,13.103541486647199,0.35558335856443546,0.0649041209329933,0.7640976411518186,1.568442224663419,0.0012370759230265495,3.75287473507946,66.72251913633366,90.73638828583901,0.4622648032112519
87,Grenada,,2020-12-22,1.4644040589708678,-72.55598743874481,1.3626445823797138,0.12091254192093419,0.10058548737562598,3.69677911258177,0.0014401756930208702,1.0003603739638813,2.962179414461547,279.88762627923484,90.62665175660581,0.20122855530320619
88,Greece,,2020-03-15,0.3093232036182145,15.962454281459518,14.46935998726732,0.23458384574855123,0.24957277307472275,1.8160750483295782,0.11613192385250118,0.8012057828483271,5.0,37.876609054173514,2.489288950755955,0.8154261754018287
