,country,domain,first_day_above_hundred,alpha,days,r_s,r_dth,p_dth,r_dthdecay,k1,k2,jump,t_jump,std_normal,k3
64,Dominican Republic,,2020-03-24,1.493050167062934,-25.335874313874893,1.075904800126263,0.1082402330306487,0.1438289633137677,1.746017012691523,4.846475966299359,4.739964769926933,5.0,238.1621502160101,70.04218597891966,0.35321359851350215
65,Ethiopia,,2020-04-19,0.4099787950166423,12.75938701086404,8.411167756295221,0.48454621671147796,0.037440688901727616,2.8764040630545855,0.3960486287861122,0.05314261889031032,2.5946458505999668,72.2386043980787,51.80062464110195,0.20001370576485153
66,Canada,Yukon,2021-06-13,0.3088168679426664,11.213272863277828,15.0,0.5,0.01397844784709059,1.1748838630202099,4.041809166597434,0.7795784028218584,4.998072139046183,124.76217395046542,47.532459450366446,0.2
67,Canada,Quebec,2020-03-17,1.5,7.197050967870404,12.503523684669391,0.03825130643858792,0.18445099132010584,-0.2,4.715462430892365,3.173551945098293,0.18484344326352878,30.993506500074258,35.471924596048105,0.2
68,French Guiana,,2020-04-24,0.9349388743205622,21.774166896549332,1.9569186219872214,0.02,0.01,4.999994650113619,0.00540704125548608,0.02964896203666243,4.860211518373148,103.19295825198225,19.9099986958586,0.20000287754703708
69,Georgia,,2020-03-30,0.40226109006159166,15.745582269323839,1.7882611286217087,0.0255290974069035,0.027312648470814722,-0.2,0.0011472806122629047,0.27403747608184476,0.22777833840083517,162.98198049544362,3.7312868506199863,1.9993109668482836
70,French Polynesia,,2020-08-12,0.12363229283556018,29.43283627147156,14.999973912477396,0.02,0.011535662291137167,-0.2,4.743407066938028,1.479154228094277,2.2478719068793436,12.369796153700536,96.47395471587532,0.2
71,Grenada,,2020-12-22,0.2637166112709441,-73.8271988231208,1.0,0.10216512430444163,0.02861131723705371,2.2218671349992776,0.001,1.051541343652216,1.3079536652703831,124.7796387872304,96.80445138723762,0.2
72,Guinea-Bissau,,2020-04-30,1.2137348730092736,-12.508885221382235,5.476913934045281,0.02,0.021031145848789363,-0.2,5.0,0.0013233737038584807,3.172809284982392,248.0268471024468,86.5916369421476,0.5691693860436122
73,Guatemala,,2020-04-11,0.74262402552849,-39.21740438945373,5.147615959152332,0.5,0.026518382791134457,0.23272734747339494,1.4070445671921858,2.7300693672813736,4.185015153815633,179.13498666550572,86.0126516071397,0.32360029474745944
74,Eritrea,,2020-06-16,0.7189741757823074,6.301216574417406,15.0,0.02,0.01,5.0,1.2915779855162581,0.005579100959169787,4.999993948561642,82.58520913440003,22.68615954211265,0.2
75,Denmark,,2020-03-11,0.40439075727433055,19.644493003349577,15.0,0.5,0.046598534808817926,-0.2,2.2709408127080617,2.3474073557393917,0.49276259131833217,90.81335282244815,89.26859747150988,0.2016866116077628
76,Australia,Western Australia,2020-03-22,0.2354431452865531,-22.926470634217303,9.959518779893644,0.07195435578561156,0.016575345251839225,-0.2,5.0,0.0051652926346367565,1.2232823703049243,42.13505127681529,4.279523073298885,0.70267164081777
77,Cyprus,,2020-03-24,0.2154878750343673,16.78013536529204,4.27869664444482,0.4205412192629801,0.01570665725945419,0.24990636412297493,0.3221841396249021,0.6515023777485172,3.64169335762927,86.56549266772736,25.139486412632184,2.0
78,Barbados,,2020-07-13,0.9531333517022291,16.876448836886954,15.0,0.02,0.01,5.0,0.001140790112890266,0.008772080801719151,4.9576697350326615,64.27760697739575,11.912738073760442,0.20000238494640468
79,Germany,,2020-03-01,0.5970455599861871,24.605622988259547,3.9854423719509455,0.17359910236140919,0.05221835371963609,-0.19999995808063792,3.2009829819383215,3.3390401658124587,3.6277160992099895,13.482125784430174,0.49621189726288717,0.5934398419575602
80,Guam,,2020-04-06,1.3527276154556604,-199.99932447663755,14.99988354826594,0.31274279417116024,0.045787858567769325,5.0,0.001,0.863043399851157,4.992513927551282,204.99978674137657,73.47169786221184,0.2
81,Isle of Man,,2020-04-05,0.22673375601381485,5.80825110807741,15.0,0.0890148376074617,0.14600659066623406,-0.2,5.0,0.008477804072329013,2.472658859347079,27.87661344629774,0.17769101237596488,0.2303749754719684
82,India,,2020-03-15,0.6948199150141977,15.908838135664952,5.681383082366181,0.48576253093303845,0.051151062088099185,0.3414833604204921,3.4857289174128754,0.11793385719503607,0.6389167793598985,11.74221072264419,61.56728916213533,0.2873673295499257
83,Canada,Saskatchewan,2020-03-27,0.6790216167706862,-119.83950643751854,9.232997176581723,0.5,0.013780858515502958,0.6822288346718348,0.9878340953060082,0.3196288443064002,1.5211468228167946,27.29561906804392,6.076053061737294,1.4887551632763782
84,Croatia,,2020-03-20,0.19855010452577704,22.09423910442792,4.1672709085648245,0.02,0.08428702239757892,-0.2,4.992886032447321,0.001601674848136182,4.997891190866277,225.0238906389011,67.90929918213396,1.2065044742125397
85,Japan,,2020-02-22,1.4986206333982586,-61.1067352059164,12.405362957243295,0.023175379634988724,0.25,1.721501505580664,5.0,2.244401387635704,3.186277039850373,159.97588755963935,67.49616256796965,0.3289135376510791
86,Eswatini,,2020-05-02,1.462343785582227,-109.31816014213842,7.187329992496791,0.5,0.010126376595132595,0.6225484326214011,1.5952954311671539,2.044249757460279,4.990227510795007,143.00217095950453,51.5249772600735,0.20006818277101776
87,Estonia,,2020-03-15,0.8891961446946473,7.827044264421103,15.0,0.5,0.02415243722224268,0.8821341765694805,5.0,1.3633383290377237,4.911006441457863,61.29761637599027,8.172320303886856,0.5063106881170255
88,Greenland,,2021-07-28,0.6409708033856694,9.250280243942173,15.0,0.02,0.01,5.0,1.0909558610622043,0.12284348733081094,4.9999242140113545,129.63959079520185,42.31810150726491,0.2
89,Ecuador,,2020-03-18,1.0635817000043415,-102.24909050539274,5.782068602348992,0.2993010684616417,0.10758813018574362,1.0683696397050604,4.939986515089656,2.2248195098355716,0.6360145436608231,35.459199279856804,62.081014515078,1.1129407889287224
90,Italy,,2020-02-24,1.413514050410648,-29.909474572080903,1.5355406857832767,0.2788872243298272,0.12214517964754484,-0.2,3.4374699288411286,4.941420593525813,0.7529071665093103,10.033571608392965,8.849903105491247,0.9841225598336139
91,Equatorial Guinea,,2020-04-21,1.3666204853754176,-17.47970025426121,1.0,0.1751465963936783,0.033360552510241455,3.554645399497408,5.0,0.11638412131077387,3.505928196385544,57.706257994347204,7.912545519772162,0.23723797312393446
92,Mauritius,,2020-03-29,0.1,-200.0,15.0,0.20163232157681282,0.02506996229702904,5.0,1.2694862881319933,0.02416100321791398,4.104409987231904,54.42918557922292,1.4374573634570766,2.0
93,Guinea,,2020-04-03,0.13070989365990293,20.89597586840507,13.478400924916365,0.03628582920440036,0.06148741117779221,5.0,4.999610043221814,0.12105548076241995,3.270425570181879,84.27572647853282,83.04579077850906,0.5340146694172382
