,country,domain,first_day_above_hundred,Last_15_Days_Case_MAPE,Case_MAPE,Train_Case_MAPE,Last_15_Days_Case_MAE,Case_MAE,Train_Case_MAE,Last_15_Days_Death_MAPE,Death_MAPE,Train_Death_MAPE,Last_15_Days_Death_MAE,Death_MAE,Train_Death_MAE
43,Faroe Islands,,2020-03-23,6.835856750383619,6.204646704821473,5.873099819637599,12.783052123217368,11.155646599740468,10.292695914514182,,,,0.48237774072107453,0.29866518082495325,0.21163865154262565
44,Comoros,,2020-06-13,8.84804939287465,6.793759511161104,6.483712144415154,29.625664237190254,16.788957764563225,12.725596731170413,20.277853371639758,18.98006824505454,18.40638747503709,1.419449736014783,1.1229304802035243,0.9709933170901867
45,Djibouti,,2020-04-08,96.27024152819025,57.01935732830054,54.37551389151204,4237.132132466121,1288.438852671674,549.2670507457975,85.48226278033071,50.20745128677069,47.80664862621041,31.104487772798507,7.392873045817902,1.0102526668702838
46,France,,2020-05-17,14.59357759085565,29.419077956727985,36.92062712352565,3689.864494305032,3511.2701073306785,3477.137259230804,1.7859235438956849,2.3907080087105452,2.655088015361482,349.8788910161386,452.8659541016867,497.1368519844101
47,Canada,Manitoba,2020-03-31,3.3863820525934756,1.8999437445549203,1.3796404514797278,10.048388916794632,4.964566221017529,3.081525511665542,11.956391505833809,7.963363899413199,6.9789077282215315,0.8369474054083665,0.4138791770420445,0.26694751901684516
48,Angola,,2020-06-11,128.99037778490373,34.04695071228736,7.149219769441148,2398.578123766767,543.8145443415829,17.699148223562364,17.568516022728517,9.861502263057423,6.604033416342707,14.729951088662244,4.628215536392144,0.8513134851394465
49,Finland,,2020-03-08,12.464049091148482,10.105368157010027,9.794276290876569,775.1838379373634,309.2294196911568,126.52939086062655,0.511303942418232,3.848576388372778,5.606665663386526,1.508889452073322,3.5384080874196306,4.497385430514952
50,Bahrain,,2020-03-10,29.268620951867042,19.472969325258923,17.38819348532634,1684.1471139862535,466.1147660519527,79.92769412611293,22.93806657579332,20.487314969872187,22.010875832445542,1.9436842562640217,0.8806683366605211,0.533801370268854
51,Algeria,,2020-03-22,1993.3163278691268,431.95851327338903,9.33225552549666,176997.03613978004,37765.896543970695,115.71815875329133,629.7250229353568,158.12830582816417,12.037881265412015,3916.43556792575,852.194043694973,15.428269631904971
52,Colombia,,2020-03-20,238.99174853419316,63.13251656276122,16.94711470312352,49495.20131224755,10741.618891535272,160.39815578116128,100.78939463902203,29.02388044920297,10.069776629124673,719.7287901991331,155.97579438669857,3.2202677292135418
53,Costa Rica,,2020-03-22,16.419665666120906,5.833213598211393,2.9979028792791436,157.61150501714366,43.71105875472569,10.957450816973786,8.609280408056467,21.396053175811943,26.109547156495864,0.8580525826112084,0.8402099008563071,0.7619345935182966
54,Brazil,,2020-03-16,155.51466255467716,39.82168404600406,8.488366832852702,430784.0050722892,93139.56232544895,461.333404881793,126.36318390157551,45.53227840871582,25.847506586500085,22940.65422834008,4974.732884963925,33.29902261729692
55,Egypt,,2020-03-15,23.90278770613661,12.321690182873411,9.441477681439947,3030.9422805548757,760.3040845560553,56.314269078788385,4.594849181140399,5.308638178695358,6.062581149739685,29.649892771055637,10.077715985347231,3.144258072610402
56,Gambia,,2020-07-19,5.240957146171761,7.5946339650529,9.236252183708332,184.2717275649953,113.6355330579426,89.73290085252457,,,,3.695827102313567,1.7136412909640772,0.8302132692462577
57,Australia,Victoria,2020-03-18,6.94249547975981,8.833371219396753,10.98763449974026,110.18417171766082,85.59205568204334,90.49681721792653,16.50344748780489,17.879001821788048,19.39395760337757,3.014066936476618,1.9888815815324072,1.5318627349293668
58,Chile,,2020-03-17,46.132857597115304,21.57264608385115,14.416121530804771,23956.101421487354,5773.046842093657,171.92438621195507,15.456266126040438,51.21468750135051,76.58169427149826,92.96872366315738,25.223117091851158,6.494492784125109
59,Australia,Australian Capital Territory,2020-04-10,0.08384595281167201,0.5600585204353464,0.6341309045995769,0.08992072815099164,0.5937016971013804,0.6698698791625735,18.978311358378747,18.974940481264422,18.973594537302017,0.5693493407513623,0.5480280191117649,0.5364549259417147
60,Guadeloupe,,2020-03-31,10.695397587794432,6.943475899042322,5.755096588553076,17.361587987507566,10.540488263998697,8.319211162029175,9.898534650008221,11.415865141010489,13.124989006170502,1.385794851001151,1.236457244846346,1.291797460694829
61,Gibraltar,,2020-04-08,13.57186593457375,6.471895533892003,4.972479750260605,22.701009157245167,9.499318226166201,6.339881892565445,,,,0.28444868674604484,0.17556585880224257,0.12445801368014087
62,Antigua and Barbuda,,2020-09-28,1.8373095158942012,1.2082135226635538,0.9915189792277849,2.5961364856416576,1.529625842806521,1.137137571996184,20.170520773647986,8.523795834899598,2.738405045778051,0.806820830945919,0.32173469624489826,0.08215215137334154
63,Guernsey,,2020-04-03,3.278367834483611,2.762603016851881,2.5022423410298753,8.261486942898697,6.507539661251103,5.604572094475495,2.0844804715848264,2.9368957770240116,3.438136600864641,0.3335168754535722,0.3538877997457493,0.37103441602867804
64,Dominican Republic,,2020-03-24,3.7710504841448658,6.413014353661106,8.263340756386771,610.7178208642765,243.82627599999697,133.0503160555377,6.275514107008863,6.951099872711762,8.467204120747848,29.749292390185488,11.635741913756146,7.375717458647659
65,Ethiopia,,2020-04-19,277.7745553410242,66.35242749045128,5.265497482403189,13306.474977424978,2924.9546857801242,16.215608820516987,23.337599526581705,9.10648981496626,1.937784706926863,19.749186268209073,5.931257413632486,0.4897642223040122
66,Canada,Yukon,2021-06-13,6.454648545488409,3.5477122620204464,3.20787119601186,42.64443409774855,16.00350191055586,9.81047451630233,21.371512006713502,12.252163798872754,7.673586148142506,1.70972096053708,0.7907259313389733,0.3377430905854329
67,Canada,Quebec,2020-03-17,6.5397878542954615,9.339199081721453,11.521704440170042,2965.0519259091875,1049.6000188951934,378.8645420451509,23.44196784428388,13.626125218211843,11.92280831255654,1058.3744323080377,270.76072179836956,20.512482981605345
68,French Guiana,,2020-04-24,61.2800228928892,21.283224712448508,7.217606493864789,1920.2237102603488,459.5659641575229,13.98041936190117,80.8726114651918,30.598553503142767,11.584936721580739,8.514182548089359,2.067564746427986,0.1158493672158074
69,Georgia,,2020-03-30,9.912576784291709,4.515334003946582,2.8597358051822668,77.94205773137828,26.227620283326864,8.816910068569378,26.57254587934833,14.68662959767425,12.11812820758534,3.3010795980247147,1.1161056707510153,0.4601999080506271
70,French Polynesia,,2020-08-12,35.89392508440339,11.694186452223018,4.661656763058264,1265.9187923446736,305.9506745827766,25.55833575743265,9.289502342093323,24.037178336786972,49.9465229759227,1.2426847251811712,0.7892573164771216,0.7371116261756111
71,Grenada,,2020-12-22,9.89862035971118,7.223111074220867,6.279407507271103,14.649958132372547,10.09703018664144,8.377971623205003,43.67549561659744,31.900459663171826,23.80991873852508,0.4367549561659744,0.3398547796329995,0.2931455637612301
72,Guinea-Bissau,,2020-04-30,1.9091002401681485,4.403312349619643,5.9956862909411335,33.09707862515568,34.893437118042755,40.328399016303635,12.02737273668048,13.54970257232922,15.957477227668432,2.8643178951564408,1.2117359141230857,0.7538369564399261
73,Guatemala,,2020-04-11,354.8686384884965,86.70557125280699,11.00588930223699,34829.827245202374,7631.451034172412,49.321202163331215,60.6773009892208,19.86343220324935,8.671608694412047,241.74556362491705,53.15805932227377,1.1388586288476836
74,Eritrea,,2020-06-16,524.9012490048256,116.52077326110661,7.285119205708511,1594.5032846756735,348.7615244959081,14.395743883958136,,,,0.5412994267149093,0.26150318338120515,0.15120738270046555
75,Denmark,,2020-03-11,11.126571028483227,13.234355901323857,15.49493056757745,1175.246641467156,492.7134222812665,258.00904074467724,7.301034491304148,21.69033643930409,30.707258118826157,38.978955215377304,12.716182108802945,4.18289024155589
76,Australia,Western Australia,2020-03-22,2.7593264219717955,2.421638944091416,2.683350427592858,15.861542852351333,10.583011385223822,10.308440570438247,7.554992293438508,11.262868616462534,14.186599643002367,0.6799493064094657,0.48781021879077724,0.46515907819520463
77,Cyprus,,2020-03-24,5.454229514809001,10.315012477188805,13.170128885073185,50.96001145903578,44.69408056786354,43.57856993437954,9.151058164511213,7.915480543775831,7.576564012745991,1.555679887966906,0.9086583354573905,0.6196920012603069
78,Barbados,,2020-07-13,4287.438131054527,908.7717026898408,1.3816804703107441,7899.379749901595,1673.6540203739066,1.7037058529291067,12.126775853678053,3.5521980396514956,1.024683676646922,0.8488743097574637,0.24865386277560475,0.07172785736528454
